Gen
BusNum,MW,Mvar,MvarMax,MvarMin,VoltSet,CustomFloat:0,Status,MWMax,MWMin,ID,AreaNumber,ZoneNumber,FuelTypeCode,UnitTypeCode,CustomString:0,CustomString:1,CustomString:2,CustomString:3
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,15.600000,10,1,74,DFO,GT,2494,2494-GT16,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,11,1,74,NG,GT,2494,2494-GT17,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,14.600000,12,1,74,DFO,GT,2494,2494-GT18,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,13,1,74,NG,GT,2494,2494-GT21,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,14,1,74,NG,GT,2494,2494-GT22,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,15,1,74,DFO,GT,2494,2494-GT23,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,16,1,74,NG,GT,2494,2494-GT24,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,17,1,74,NG,GT,2494,2494-GT25,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,18,1,74,KER,GT,2494,2494-GT26,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,19,1,74,NG,GT,2494,2494-GT27,,
1129,0.000000,0.000000,2.200000,-1.800000,1.020000,,Open,3.200000,0.100000,2,1,74,NG,IC,63236,63236-DG3,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,20,1,74,NG,GT,2494,2494-GT28,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,21,1,74,NG,GT,2494,2494-GT31,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,22,1,74,DFO,GT,2494,2494-GT32,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,23,1,74,NG,GT,2494,2494-GT33,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,24,1,74,KER,GT,2494,2494-GT34,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,25,1,74,DFO,GT,2494,2494-GT35,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,15.200000,26,1,74,NG,GT,2494,2494-GT36,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,27,1,74,NG,GT,2494,2494-GT37,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,28,1,74,DFO,GT,2494,2494-GT38,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,29,1,74,NG,GT,2494,2494-GT41,,
1129,0.000000,0.000000,2.200000,-1.800000,1.020000,,Open,3.200000,0.100000,3,1,74,NG,IC,63236,63236-DG4,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,30,1,74,DFO,GT,2494,2494-GT42,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,31,1,74,NG,GT,2494,2494-GT43,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,32,1,74,NG,GT,2494,2494-GT44,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,15.700001,33,1,74,NG,GT,2494,2494-GT45,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,34,1,74,DFO,GT,2494,2494-GT46,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,35,1,74,DFO,GT,2494,2494-GT47,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,36,1,74,NG,GT,2494,2494-GT48,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,37,1,74,DFO,GT,2499,2499-NT11,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,38,1,74,NG,GT,2499,2499-NT12,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,39,1,74,DFO,GT,2499,2499-NT13,,
1129,0.000000,0.000000,2.200000,-1.800000,1.020000,,Open,3.200000,0.100000,4,1,74,NG,IC,63236,63236-DG5,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,40,1,74,DFO,GT,2499,2499-NT14,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,41,1,74,KER,GT,2499,2499-NT15,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,15.700001,42,1,74,DFO,GT,2499,2499-NT16,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,15.600000,43,1,74,DFO,GT,2499,2499-NT17,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,44,1,74,NG,GT,2499,2499-NT18,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,45,1,74,DFO,GT,2499,2499-NT21,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,46,1,74,DFO,GT,2499,2499-NT22,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,47,1,74,KER,GT,2499,2499-NT23,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,48,1,74,NG,GT,2499,2499-NT24,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,49,1,74,DFO,GT,2499,2499-NT25,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,5,1,74,NG,GT,2494,2494-GT11,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,15.400000,50,1,74,DFO,GT,2499,2499-NT26,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,16.000000,51,1,74,DFO,GT,2499,2499-NT27,,
1129,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,15.800001,52,1,74,NG,GT,2499,2499-NT28,,
1129,0.000000,0.000000,32.900000,-25.900000,1.020000,,Open,47.000000,1.000000,53,1,74,NG,GT,7910,7910-1,,
